event_id,event_name,end_date
2026_sony_open_in_hawaii,Sony Open in Hawaii,2026-01-18
2026_the_american_express,The American Express,2026-01-25
2026_farmers_insurance_open,Farmers Insurance Open,2026-02-01
2026_wm_phoenix_open,WM Phoenix Open,2026-02-08
2026_att_pebble_beach_pro_am,AT&T Pebble Beach Pro-Am,2026-02-15
2026_genesis_invitational,The Genesis Invitational,2026-02-22
2026_cognizant_classic_in_the_palm_beaches,Cognizant Classic in The Palm Beaches,2026-03-01
2026_arnold_palmer_invitational,Arnold Palmer Invitational,2026-03-08
2026_puerto_rico_open,Puerto Rico Open,2026-03-08
2026_the_players_championship,THE PLAYERS Championship,2026-03-15
2026_valspar_championship,Valspar Championship,2026-03-22
2026_texas_childrens_houston_open,Texas Children's Houston Open,2026-03-29
